Data/Hora,Segundos,Sensor1,Sensor2,Sensor3
2024-11-26 14:01:45,0.00,25.75,25.25,26.25
2024-11-26 14:01:55,10.08,26.25,25.75,25.75
2024-11-26 14:02:05,20.08,25.50,25.75,26.25
2024-11-26 14:02:15,30.17,26.25,25.25,26.00
2024-11-26 14:02:25,40.27,26.25,25.00,25.50
2024-11-26 14:02:35,50.28,25.75,25.75,25.50
2024-11-26 14:02:45,60.32,25.75,25.50,26.00
2024-11-26 14:02:55,70.34,26.00,25.50,25.50
2024-11-26 14:03:05,80.35,26.00,25.50,26.00
2024-11-26 14:03:15,90.37,25.50,25.50,25.25
2024-11-26 14:03:25,100.42,26.00,25.75,25.50
2024-11-26 14:03:35,110.47,25.75,25.75,26.00
2024-11-26 14:03:45,120.54,25.75,26.00,26.00
2024-11-26 14:03:55,130.58,26.00,26.00,26.00
2024-11-26 14:04:05,140.61,25.50,26.00,26.00
2024-11-26 14:04:15,150.71,26.00,26.75,26.25
2024-11-26 14:04:25,160.77,26.25,26.00,25.75
2024-11-26 14:04:35,170.85,26.25,26.50,26.00
2024-11-26 14:04:45,180.88,26.00,26.75,26.25
2024-11-26 14:04:56,190.91,26.00,27.00,26.50
2024-11-26 14:05:06,200.92,26.50,27.25,26.00
2024-11-26 14:05:16,210.95,26.25,27.75,26.75
2024-11-26 14:05:26,221.00,26.75,27.50,27.00
2024-11-26 14:05:36,231.05,26.50,28.00,27.00
2024-11-26 14:05:46,241.05,26.75,28.25,27.00
2024-11-26 14:05:56,251.06,27.00,29.25,27.25
2024-11-26 14:06:06,261.16,27.25,29.00,26.50
2024-11-26 14:06:16,271.18,27.50,29.75,27.00
2024-11-26 14:06:26,281.19,28.00,30.00,27.75
2024-11-26 14:06:36,291.27,28.25,30.00,28.00
2024-11-26 14:06:46,301.27,28.00,30.75,27.75
2024-11-26 14:06:56,311.30,29.00,31.50,28.50
2024-11-26 14:07:06,321.34,28.75,31.75,28.25
2024-11-26 14:07:16,331.37,29.50,32.50,29.00
2024-11-26 14:07:26,341.46,29.50,33.00,28.75
2024-11-26 14:07:36,351.50,30.50,33.50,28.75
2024-11-26 14:07:46,361.51,30.75,33.75,29.50
2024-11-26 14:07:56,371.60,30.75,31.75,29.50
2024-11-26 14:08:06,381.63,30.50,32.25,30.25
2024-11-26 14:08:16,391.68,30.75,32.75,30.25
2024-11-26 14:08:26,401.69,31.25,33.50,31.00
2024-11-26 14:08:36,411.72,31.75,33.75,31.25
2024-11-26 14:08:46,421.74,31.50,34.25,31.25
2024-11-26 14:08:56,431.77,32.50,35.25,31.50
2024-11-26 14:09:06,441.79,32.75,35.75,32.50
2024-11-26 14:09:16,451.85,33.50,36.25,32.50
2024-11-26 14:09:27,461.94,33.25,37.25,33.25
2024-11-26 14:09:37,471.95,33.75,37.75,33.25
2024-11-26 14:09:47,481.97,34.50,38.50,33.75
2024-11-26 14:09:57,492.05,34.50,38.75,33.50
2024-11-26 14:10:07,502.13,35.50,39.75,34.75
2024-11-26 14:10:17,512.22,36.25,40.50,35.25
2024-11-26 14:10:27,522.27,36.50,40.75,35.50
2024-11-26 14:10:37,532.33,37.25,41.50,36.00
2024-11-26 14:10:47,542.33,37.75,42.25,36.75
2024-11-26 14:10:57,552.38,38.25,42.75,37.00
2024-11-26 14:11:07,562.47,39.00,43.25,37.25
2024-11-26 14:11:17,572.52,39.50,44.00,37.75
2024-11-26 14:11:27,582.57,39.75,44.75,38.50
2024-11-26 14:11:37,592.68,41.00,45.25,39.25
2024-11-26 14:11:47,602.69,41.50,46.00,39.75
2024-11-26 14:11:57,612.73,41.75,47.00,39.75
2024-11-26 14:12:07,622.80,42.75,47.00,40.75
2024-11-26 14:12:17,632.84,43.25,47.75,41.00
2024-11-26 14:12:27,642.89,44.00,48.50,41.50
2024-11-26 14:12:37,652.89,44.50,49.00,42.50
2024-11-26 14:12:48,662.93,44.75,49.50,42.25
2024-11-26 14:12:58,672.94,45.25,50.50,43.50
2024-11-26 14:13:08,682.99,46.00,50.50,44.25
2024-11-26 14:13:18,693.08,46.00,51.25,44.50
2024-11-26 14:13:28,703.12,46.75,51.50,44.75
2024-11-26 14:13:38,713.14,47.75,52.50,45.75
2024-11-26 14:13:48,723.15,48.75,53.25,46.00
2024-11-26 14:13:58,733.18,49.00,54.00,46.50
2024-11-26 14:14:08,743.21,49.50,54.00,47.25
2024-11-26 14:14:18,753.23,50.50,54.25,48.00
2024-11-26 14:14:28,763.28,51.00,55.50,48.25
2024-11-26 14:14:38,773.29,51.50,56.25,49.00
2024-11-26 14:14:48,783.30,52.25,57.00,49.50
2024-11-26 14:14:58,793.35,52.50,57.75,50.00
2024-11-26 14:15:08,803.38,53.25,57.50,50.75
2024-11-26 14:15:18,813.38,53.50,58.75,51.25
2024-11-26 14:15:28,823.38,54.25,59.00,51.75
2024-11-26 14:15:38,833.40,55.00,59.25,52.75
2024-11-26 14:15:48,843.42,55.75,60.00,53.25
2024-11-26 14:15:58,853.49,56.25,60.75,53.00
2024-11-26 14:16:08,863.59,56.50,61.75,53.75
2024-11-26 14:16:18,873.62,57.00,62.00,54.75
2024-11-26 14:16:28,883.66,57.75,63.25,54.75
2024-11-26 14:16:38,893.76,57.75,63.50,56.00
2024-11-26 14:16:48,903.84,58.75,63.75,56.50
2024-11-26 14:16:59,913.93,58.75,64.00,57.00
2024-11-26 14:17:09,924.02,59.00,65.25,56.75
2024-11-26 14:17:19,934.05,60.00,66.00,58.25
2024-11-26 14:17:29,944.06,60.25,66.00,59.00
2024-11-26 14:17:39,954.11,60.75,66.75,59.50
2024-11-26 14:17:49,964.17,61.00,67.25,59.50
2024-11-26 14:17:59,974.23,61.50,67.50,59.75
2024-11-26 14:18:09,984.29,61.75,67.75,60.75
2024-11-26 14:18:19,994.30,62.50,68.00,61.00
2024-11-26 14:18:29,1004.32,62.75,68.75,61.50
2024-11-26 14:18:39,1014.36,63.25,68.00,62.75
2024-11-26 14:18:49,1024.37,63.00,68.25,63.00
2024-11-26 14:18:59,1034.37,63.75,68.75,63.50
2024-11-26 14:19:09,1044.39,64.00,68.75,63.75
2024-11-26 14:19:19,1054.44,64.25,69.25,64.75
2024-11-26 14:19:29,1064.47,64.25,69.50,64.50
2024-11-26 14:19:39,1074.48,64.25,70.25,65.50
2024-11-26 14:19:49,1084.49,64.75,69.75,65.50
2024-11-26 14:19:59,1094.57,64.75,70.00,66.25
2024-11-26 14:20:09,1104.58,64.25,70.00,67.00
2024-11-26 14:20:19,1114.61,64.50,69.75,67.00
2024-11-26 14:20:29,1124.63,64.50,70.00,67.50
2024-11-26 14:20:39,1134.65,65.00,69.50,67.75
2024-11-26 14:20:49,1144.66,64.50,70.00,67.75
2024-11-26 14:20:59,1154.76,65.00,69.50,67.50
2024-11-26 14:21:09,1164.80,65.00,70.25,68.25
2024-11-26 14:21:19,1174.84,65.25,70.00,69.25
2024-11-26 14:21:30,1184.93,64.75,70.00,69.00
2024-11-26 14:21:40,1194.97,65.25,70.25,69.00
2024-11-26 14:21:50,1204.98,65.25,70.00,69.75
2024-11-26 14:22:00,1215.04,65.25,70.00,69.75
2024-11-26 14:22:10,1225.14,65.25,70.00,70.25
2024-11-26 14:22:20,1235.20,65.25,70.00,70.50
2024-11-26 14:22:30,1245.30,65.00,70.00,71.00
2024-11-26 14:22:40,1255.30,65.00,70.50,71.25
2024-11-26 14:22:50,1265.37,65.25,69.75,71.00
2024-11-26 14:23:00,1275.44,65.00,70.25,71.50
2024-11-26 14:23:10,1285.47,65.00,70.50,71.75
2024-11-26 14:23:20,1295.50,66.00,71.25,72.25
2024-11-26 14:23:30,1305.54,66.25,72.00,72.25
2024-11-26 14:23:40,1315.57,66.25,72.50,72.00
2024-11-26 14:23:50,1325.66,66.75,72.25,72.50
2024-11-26 14:24:00,1335.70,67.25,72.00,72.75
2024-11-26 14:24:10,1345.73,67.50,73.25,72.75
2024-11-26 14:24:20,1355.76,67.50,73.75,72.75
2024-11-26 14:24:30,1365.80,67.50,74.00,73.25
2024-11-26 14:24:40,1375.81,68.25,74.00,73.50
2024-11-26 14:24:50,1385.82,68.50,73.75,73.25
2024-11-26 14:25:00,1395.86,69.00,74.75,74.00
2024-11-26 14:25:10,1405.87,68.75,74.50,74.25
2024-11-26 14:25:20,1415.90,68.50,74.50,74.25
2024-11-26 14:25:31,1425.92,69.50,74.50,74.50
2024-11-26 14:25:41,1435.94,68.75,74.75,74.25
2024-11-26 14:25:51,1445.98,69.75,74.50,74.75
2024-11-26 14:26:01,1456.03,70.00,75.00,74.25
2024-11-26 14:26:11,1466.11,69.50,75.50,75.25
2024-11-26 14:26:21,1476.13,70.00,75.75,75.25
2024-11-26 14:26:31,1486.18,70.50,76.00,75.00
2024-11-26 14:26:41,1496.19,70.00,75.25,75.25
2024-11-26 14:26:51,1506.28,70.50,75.50,75.75
2024-11-26 14:27:01,1516.32,70.50,75.25,75.75
2024-11-26 14:27:11,1526.36,70.00,75.75,76.00
2024-11-26 14:27:21,1536.43,70.50,75.75,76.00
2024-11-26 14:27:31,1546.51,70.75,76.00,75.75
2024-11-26 14:27:41,1556.55,70.50,75.50,76.00
2024-11-26 14:27:51,1566.65,70.75,76.25,76.75
2024-11-26 14:28:01,1576.72,70.50,75.50,76.50
2024-11-26 14:28:11,1586.80,70.75,74.75,76.50
2024-11-26 14:28:21,1596.83,70.75,75.50,77.25
2024-11-26 14:28:31,1606.86,70.50,75.75,76.75
2024-11-26 14:28:41,1616.87,70.25,75.75,77.00
2024-11-26 14:28:52,1626.92,70.25,75.75,77.00
2024-11-26 14:29:02,1637.01,71.00,75.50,77.50
2024-11-26 14:29:12,1647.03,70.75,75.75,77.50
2024-11-26 14:29:22,1657.11,71.00,75.50,78.00
2024-11-26 14:29:32,1667.12,71.25,76.25,77.50
2024-11-26 14:29:42,1677.22,70.75,76.25,77.75
2024-11-26 14:29:52,1687.24,71.25,76.00,77.25
2024-11-26 14:30:02,1697.27,71.50,77.00,77.75
2024-11-26 14:30:12,1707.28,71.25,77.75,78.00
